opcode,refcount,numiters,ns
POPITEM,Array,256,100000,3461
POPITEM,Array,512,100000,6175
POPITEM,Array,768,100000,8994
POPITEM,Array,1024,100000,11942
POPITEM,Array,1280,100000,13846
POPITEM,Array,1536,100000,16995
POPITEM,Array,1792,100000,20303
POPITEM,Array,2048,100000,22528
