opcode,numbytes,ns
SUBSTR,16383,7359
SUBSTR,32766,14241
SUBSTR,49149,21475
SUBSTR,65532,30168
SUBSTR,81915,41091
SUBSTR,98298,51275
SUBSTR,114681,57993
SUBSTR,131064,63658
