opcode,n,ns
REVERSEN,255,530
REVERSEN,511,919
REVERSEN,767,1316
REVERSEN,1023,1674
REVERSEN,1279,2042
REVERSEN,1535,2405
REVERSEN,1791,2792
REVERSEN,2047,3181
