opcode,argslots,ns
INITSLOT,31,1130
INITSLOT,62,2061
INITSLOT,93,3034
INITSLOT,124,4138
INITSLOT,155,5165
INITSLOT,186,6036
INITSLOT,217,7319
INITSLOT,248,8276
