opcode,staticslots,numiters,ns
INITSSLOT,31,100000,574.3
INITSSLOT,62,100000,622.9
INITSSLOT,93,100000,726.3
INITSSLOT,124,100000,762.3
INITSSLOT,155,100000,922.7
INITSSLOT,186,100000,899.8
INITSSLOT,217,100000,1102
INITSSLOT,248,100000,1168
