opcode,removedrefcount,addedrefcount,numiters,ns
ST,256,1,100000,1744
ST,1,256,100000,3326
ST,512,1,100000,3175
ST,1,512,100000,6254
ST,768,1,100000,4806
ST,1,768,100000,8885
ST,1024,1,100000,6329
ST,1,1024,100000,12024
ST,1280,1,100000,7549
ST,1,1280,100000,14635
ST,1536,1,100000,8859
ST,1,1536,100000,18158
ST,1792,1,100000,10836
ST,1,1792,100000,20967
ST,2048,1,100000,12211
ST,1,2048,100000,24336
