opcode,refs,size,ns
PACK,255,1,3487
PACK,511,1,6593
PACK,767,1,9755
PACK,1023,1,12916
PACK,1279,1,16186
PACK,1535,1,19259
PACK,1791,1,22500
PACK,2047,1,25575
PACK,256,256,6156
PACK,512,512,11813
PACK,768,768,17559
PACK,1024,1024,23027
PACK,1280,1280,28301
PACK,1536,1536,33379
PACK,1792,1792,38572
PACK,2048,2048,45604
