refs,stacksize,ns
256,1,2101
512,1,3968
768,1,5906
1024,1,7934
1280,1,9870
1536,1,11700
1792,1,13697
2048,1,15705
256,256,1749
512,512,3243
768,768,4661
1024,1024,6354
1280,1280,7674
1536,1536,9266
1792,1792,10467
2048,2048,12067
