opcode,numbytes,ns
NEWBUFFER,16383,6792
NEWBUFFER,32766,12125
NEWBUFFER,49149,19352
NEWBUFFER,65532,27237
NEWBUFFER,81915,36521
NEWBUFFER,98298,43032
NEWBUFFER,114681,47741
NEWBUFFER,131064,49810
