opcode,numbytes,numiters,ns
MEMCPY,16383,100000,976
MEMCPY,32766,100000,1772
MEMCPY,49149,100000,2501
MEMCPY,65532,100000,3215
MEMCPY,81915,100000,3959
MEMCPY,98298,100000,4665
MEMCPY,114681,100000,5458
MEMCPY,131064,100000,6182
