opcode,refcount,elemsize,ns
XDROP,256,1,2080
XDROP,512,1,4075
XDROP,768,1,5992
XDROP,1024,1,7940
XDROP,1280,1,9900
XDROP,1536,1,11731
XDROP,1792,1,13934
XDROP,2048,1,15840
XDROP,1,254,302
XDROP,1,510,427
XDROP,1,766,521
XDROP,1,1022,608
XDROP,1,1278,719
XDROP,1,1534,824
XDROP,1,1790,961
XDROP,1,2046,1099
