opcode,refcount,stacksize,numiters,ns
CLEAR,256,1,100000,3203
CLEAR,512,1,100000,5964
CLEAR,768,1,100000,8605
CLEAR,1024,1,100000,11299
CLEAR,1280,1,100000,13722
CLEAR,1536,1,100000,16583
CLEAR,1792,1,100000,20552
CLEAR,2048,1,100000,22434
CLEAR,256,256,100000,16423
CLEAR,512,512,100000,39550
CLEAR,768,768,100000,70888
CLEAR,1024,1024,100000,116131
CLEAR,1280,1280,100000,169688
CLEAR,1536,1536,100000,235612
CLEAR,1792,1792,100000,309821
CLEAR,2048,2048,100000,398399
